Timestamp,Gender?,Age?,Name of the company you are currently working on (if you want to disclose),For how many years have you coded professionally?,What is your current role?,Which of the following software development methodologies do you follow?,Which of the followings do you use for requirements gathering?,"On which software development activities, do you spend most of the time? ",Which of the following technologies do you have experience working in?,What is the primary operating system you are developing on?,Which programming languages are you using?,Which frameworks are you using?,Which IDE are you using?,What types of software testing practices do you use?,What is the level of automated testing in your projects?,Which tools do you use for testing and quality assurance?,Which tools do you use for continous deployment?,Which version control tool do you use?,What are your expectations from the manager?,Are you involved in any R&D projects?,How do you ensure scalability of your products?,How do you maintain performance of your products?,How do you ensure security of your products?,What are your expectations from the employees?,What are your expectations from the potential candidates?,What are your expectations from the universities?,What are your expectations from the Government?,What kind of training facilities do you provide for the employees ?
2019/01/11 3:02:55 PM GMT+6,Male,23,,less than 2,Developer,Agile;Scrum,Story board,Project Planning;Implementation,Embedded /IOT,Windows;Linux,Java;C/C++;Python,,Visual Studio;PyCharm,User acceptance testing;Performance testing,5,,,Git,,yes,,,,,,,,
2019/01/11 3:05:06 PM GMT+6,Male,24,,less than 2,Developer,Agile,Plain Text;Use Case;GUI prototype,Requirement Analysis;Program Design;Implementation,Web,Windows,Java;JavaScript,Spring boot;nodejs,Eclipse,Unit testing;User acceptance testing;GUI testing;Functional testing;Performance testing,5,"XUnit ( eg, JUnit, NUnit )",n/a,Git;BitBucket,to be realistic,Yes,"proper project planning, standard dev. process and modularise the whole project",Continuous feedback from clients and QA team,end to end security,,,,,
2019/01/11 6:06:30 PM GMT+6,Male,41,DSi,more than 10,Architect,Agile,,Project Planning;Requirement Analysis;Program Design;Implementation,Web;Mobile,MacOS;Linux;Ubuntu,Java,Spring boot,IntelliJ,Unit testing;User acceptance testing;Functional testing;Performance testing,3,"XUnit ( eg, JUnit, NUnit );Selenium",,Git;BitBucket,,Yes,During design,continuous monitoring,design and monitoring,taking ownership of work,taking ownership of responsibility,"if possible, adopt contemporary technologies","Tax benefits, infrastructure",Internal and external training
2019/01/11 9:44:42 PM GMT+6,Male,24,,2 to 5,,,,,Web;Desktop,,,,,,,,,,,,,,,,,,,
2019/01/13 12:10:29 AM GMT+6,Male,24,Enosis Solutions,less than 2,Developer,Waterfall,Plain Text;GUI prototype;Story board,Program Design;Implementation,Web,Windows;Ubuntu,JavaScript;PHP,Raw PHP (no framework),Phpstorm,GUI testing;Functional testing,5,No tools right now,,Git,The manager has to understand the value of an individual employee working under him and provide benefits accordingly.,Sometimes,Through designing APIs and queries accordingly,"By maintaining good practices, through repeated inspection and upgradation until the performance meets the expectation. ","We use proper validations (both client and server side), make stored procedures secured and ensure proper access control.",,,,,
2019/01/13 12:31:48 AM GMT+6,Male,25,Jeeon Bangladesh Limited,less than 2,Developer,Scrum,Story board,Project Planning;Requirement Analysis;Program Design;Implementation;Documentation,Web;Mobile,MacOS,JavaScript;kotlin,Nodejs,IntelliJ;webstorm android studio,Unit testing;Functional testing,1,"XUnit ( eg, JUnit, NUnit )",gitlab,Git,Understand technology,yes,,,,,,,,
2019/01/13 8:19:43 PM GMT+6,Male,26,,2 to 5,Developer,Scrum,Grooming seasons,Implementation,Mobile,Windows,Java,Android,IntelliJ;Eclipse,GUI testing,5,"XUnit ( eg, JUnit, NUnit )",,Git,Nothing,Yes,I don't. This is the role of Sr. Software Engineer,By writing clean code and applying appropriate design pattern.,So far this thing has not been my headache.,,,,,
2019/01/13 10:01:57 PM GMT+6,Male,30,United Corporate Advisory Services Ltd.(UCAS),2 to 5,Tester,Waterfall,,Testing,Web,Windows,C#,ASP. NET,Visual Studio,Unit testing;Functional testing,,,,,Yes,Yes,Yes,Yes,Yes,Good,Good,Yes,Yes,
2019/01/13 11:16:39 PM GMT+6,Male,38,CoKreates,more than 10,Project manager,Agile;Waterfall;Pair Programming;Scrum;Hybrid,"Use Case;GUI prototype;Story board;User Stories, BRS, Interviews",Project Planning;Requirement Analysis;Documentation,"Web;Mobile;Desktop;eGovernance, Enterprise, Bots, PLC",Windows,Java;C/C++;JavaScript;C#;PHP,"Spring boot;Laravel;CakePHP, WPF",IntelliJ;NetBeans;Eclipse;Notepad++,"Unit testing;User acceptance testing;GUI testing;Functional testing;Performance testing;Stress Testing, Soak Testing",1,Selenium;JMeter,Not used yet,Git;BitBucket,"1. Learn strength of individuals in a team and use at his/her best
2. Motivate each members individually to their strengths and career path",Yes,"Big data model, REST API",Not achieved yet,"At application level, could not achieve others yet","1. Be truthful to everything they speak of and act on
2. Be focused and bear learning aptitude
3. Understand importance of any task, be it server-side programming or spell-checking","Accumulate and express based on their top strengths and justify one or two weakness(es), I will squeeze out their best to their highest inspiration","From BUET, I love what you produce. No complaint but would be great to see them answer better in interviews. Best I have seen so far, Saad Manzur (2011).
From others, impose more focus on data structures and algorithms","Encourage more involvement of freshers, may be propose Govt. scholarships for higher studies","First-hand, practical"
2019/01/14 12:43:55 AM GMT+6,Male,26,,less than 2,Tester,Agile;Scrum,Use Case,Implementation;Documentation,Web;Mobile,MacOS,Java;Python,Spring boot;Django,IntelliJ,Unit testing;User acceptance testing;Functional testing,1,JenKins;Selenium,AWS codeDeploy,BitBucket,,,,,,,,,,
2019/01/14 1:42:22 PM GMT+6,Male,41,Cefalo,more than 10,Developer;Project manager,Agile;Pair Programming;Scrum,Plain Text;Use Case;Grooming seasons;Story board,Implementation,Web,Windows,JavaScript;C#,ASP. NET,Visual Studio,Unit testing,3,"XUnit ( eg, JUnit, NUnit )",TeamCity;Octopus,Git,be a good bridge between IT and Business,No,By implementing architectural changes and cloud configuration,periodic performance refactorings,rely on owasp based tools to suggest security flaws so that those could be fixed.,provide developer tested performant code,fast learner and eager to attain new skills,provide application oriented and hands-on knowledge,faster and cheaper internet infrastructure,mentoring
2019/01/14 1:43:19 PM GMT+6,Male,27,CEFALO Bangladesh Limited,2 to 5,Developer,Agile;Scrum,Plain Text;Story board,Project Planning;Implementation,Web,Linux,JavaScript;C#,ASP. NET,Visual Studio,Unit testing,3,"XUnit ( eg, JUnit, NUnit )",,Git,Help to understand the requirements first.,Yes,,,,,,,,
2019/01/14 1:43:59 PM GMT+6,Male,35,,more than 10,Developer,Agile;Scrum,Plain Text;Use Case;Story board,Implementation;Testing;Maintenance,Web;Mobile,MacOS,Java;JavaScript,Spring boot;Jquery,IntelliJ,Unit testing;User acceptance testing;Functional testing,4,,Jenkins and GURU(vendor supplied),Git,,,,,,,,,,
2019/01/14 1:44:34 PM GMT+6,Male,33,Cefalo,5 to 10,Developer,Agile;Pair Programming;Scrum,Use Case;Grooming seasons;Story board,Project Planning;Requirement Analysis;Implementation;Testing;Maintenance,Web;Mobile,MacOS;Linux;Ubuntu,Java;JavaScript;PHP,Spring boot;Swift;Laravel,Visual Studio;IntelliJ,Unit testing;Functional testing;Performance testing,3,"JenKins;XUnit ( eg, JUnit, NUnit );Selenium",AWS codeDeploy,Git;BitBucket,Good Working Environment,Yes,using scalability tools,load testing,both network and in software,,,,,
2019/01/14 1:51:58 PM GMT+6,Male,31,Cefalo Bangladesh limited,5 to 10,Developer,Agile,Grooming seasons;Story board,Requirement Analysis;Maintenance,Web,MacOS;Ubuntu,Java;JavaScript,Spring boot,IntelliJ,manual,5,none,none,Git,,,,,,,,,,
2019/01/14 1:52:07 PM GMT+6,Male,34,,more than 10,Developer,Agile;Scrum,Plain Text;Story board,Program Design;Implementation;Maintenance,Web,MacOS,Java;JavaScript,Spring boot,IntelliJ,Unit testing;User acceptance testing,4,"XUnit ( eg, JUnit, NUnit )",Jenkins,Git;BitBucket,empowering developers.,sometimes.,"microservices, horizontal scaling. ","measure, then improve, and iterate. Not doing big up front performance centric design.","https, popular framework which already prevents some type of attacks. rest of the things on case-by-case basis.",,,,,
2019/01/14 1:53:08 PM GMT+6,Female,31,Dohatec New Media,5 to 10,Team Lead,Agile,Use Case;GUI prototype;Story board,Requirement Analysis;Program Design;Implementation;Documentation,Web;Desktop,Windows,Java;C/C++;JavaScript;C#,Spring boot;ASP. NET,Visual Studio;NetBeans,Unit testing;GUI testing;Functional testing,4,"XUnit ( eg, JUnit, NUnit );Selenium",,Git;SVN,"Provide training, feedback, recognition and praise",Yes,"Having Idea and validate that the product will fit the market, defining project goals and product requirements, Choosing the right methodology, Choosing the right technical decision, Version release and getting feedback from client.","Customer and Employee Involvement and Teamwork, Quality Planning carefully, monitoring work, and constant reevaluation and adjustment, Continual Improvement of Systems",According to International Security Standard,,,,,
2019/01/14 2:00:23 PM GMT+6,Male,,,more than 10,"High level management ( CEO, CIO, CFO )",Agile;Waterfall;Pair Programming;Scrum,Plain Text;Use Case;GUI prototype;Grooming seasons;Story board,Project Planning;Requirement Analysis;Program Design,Web;Mobile;Desktop;Embedded /IOT,Linux,Java,Spring boot,Visual Studio;IntelliJ;Eclipse,Unit testing;User acceptance testing;Functional testing;Performance testing,2,"JenKins;XUnit ( eg, JUnit, NUnit );Selenium",,Git;BitBucket,,,,,,,,,,
2019/01/14 2:02:58 PM GMT+6,Male,40,M F Asia Ltd,more than 10,"High level management ( CEO, CIO, CFO )",Agile;Scrum,Use Case;Grooming seasons;Story board,Project Planning;Requirement Analysis;Program Design,Web;Mobile,Linux,Java;JavaScript,Spring boot,IntelliJ;Eclipse,Unit testing;User acceptance testing,4,JenKins;Selenium,,Git,Take responsibility,Yes,,,,"Understanding the business, end user and user stories","Quick learner, Basic understanding of SDLC. Basic knowledge on Agile",Build capacity to learn rather and grow.,Incentive for R&D and cost bearing for Trainee,"Weekly in-house training, external taining as it needs"
2019/01/14 2:04:12 PM GMT+6,Male,,,more than 10,Principle software engineer,Agile;Scrum,Use Case;GUI prototype;Grooming seasons;Story board,Requirement Analysis;Program Design;Implementation;Testing,Web;Mobile,Linux;Ubuntu,Java;JavaScript;PHP,Spring boot;Laravel;Rails;React native,IntelliJ,Unit testing;Functional testing;Performance testing,1,"JenKins;XUnit ( eg, JUnit, NUnit );Sonarqube",Jenkins,Git,,,,,,,,,,
2019/01/14 2:22:52 PM GMT+6,Male,,,more than 10,Developer;Project manager,Agile;Scrum,Plain Text;Use Case;GUI prototype,Requirement Analysis;Implementation;Maintenance,Web;Mobile;Desktop;Embedded /IOT,FreeBSD,Java,Spring boot,IntelliJ,Unit testing;User acceptance testing,,"XUnit ( eg, JUnit, NUnit )",Spinnaker,Git,,,,,,,,,,
2019/01/14 2:27:24 PM GMT+6,Male,43,Metafour,5 to 10,"Project manager;High level management ( CEO, CIO, CFO )",Agile,Grooming seasons,Project Planning;Requirement Analysis;Implementation,Web;Desktop,Linux,Java;JavaScript;PHP,Spring boot;Joomla,Eclipse,Unit testing;User acceptance testing;GUI testing;Functional testing,3,JenKins;Selenium,Jenkins,Git;BitBucket,Quality Software development,Yes,We used Docker technology,Amazon Hosting and Quality Software,ISO 270001 procedures and controls are in practice,Bug free software development,Professionalism and clear understanding of technologies what they know,Develop a mindset of responsibility and professionalism. Help the students to choose their strong area of work.,"Improved transport system, Software development zone with competitive rent","In house technical training, External training for managers on Project Management"
2019/01/14 2:39:03 PM GMT+6,Male,39,novotel,more than 10,Project manager,Agile,Plain Text,Project Planning,Web,Windows,JavaScript;C#;PHP,ASP. NET,Visual Studio;NetBeans,Unit testing,,"XUnit ( eg, JUnit, NUnit )",ELMA,SVN,,Yes,Application is on REST service layer,User load and Exception Handle,Token based authentication for all of my rest service,Happy Environment and manageable  workload,,,Na,Just need time for reading wathcing vedio from internet
2019/01/14 2:49:31 PM GMT+6,Male,31,,5 to 10,Developer,Agile;Waterfall;Scrum,Story board,Project Planning;Requirement Analysis;Program Design;Implementation,Web,MacOS,JavaScript;PHP,Laravel;React,IntelliJ;WebStorm,,5,,,Git,Open minded,"Yes, R&D and Development",Auto-scaling,Continuous monitoring,N/A,,,,,
2019/01/14 3:26:17 PM GMT+6,Male,35,,more than 10,Developer,Kanban,Story board,Requirement Analysis;Implementation;Maintenance,Web,MacOS;Linux,Java,Spring boot,IntelliJ,GUI testing,5,,,Git,,,,,,,,,,
2019/01/14 3:59:32 PM GMT+6,Male,36,,more than 10,Developer,Agile,GUI prototype;Story board,Project Planning;Requirement Analysis;Implementation;Maintenance,Web;Mobile,Linux,JavaScript;PHP,Laravel,Sublime,Unit testing;User acceptance testing;GUI testing;Functional testing;Performance testing,5,,AWS codeDeploy,Git,Flexibility,Yes,De coupling,Code review,Testing,Self management,Honesty,Keep student up to date with new technologies as much as possible. And have better intern system for the last year students.,Nothing.,Anything required by the team.
2019/01/14 4:01:01 PM GMT+6,Male,24,Business accelerate limited,less than 2,Developer,Agile,GUI prototype,Requirement Analysis,Web,MacOS,Java;JavaScript;PHP,Laravel,IntelliJ;NetBeans;Eclipse,GUI testing;Functional testing;Performance testing,1,Selenium,TeamCity,Git;BitBucket,facility,,,,we can use framework,High salary,,Daffodil international university,,
2019/01/14 4:03:51 PM GMT+6,Male,23,Business Accelerate BD Ltd,less than 2,Developer,Agile;Pair Programming,Use Case;GUI prototype;Story board,Project Planning;Requirement Analysis;Documentation,Web;Mobile;Desktop,Windows,Java,Spring boot,IntelliJ;Eclipse,Unit testing;User acceptance testing;Functional testing,2,,,Git,Giving enough flexibility,No,,,,,,,,
2019/01/14 4:07:06 PM GMT+6,Male,37,Business Accelerate BD Ltd.,more than 10,"High level management ( CEO, CIO, CFO )",Agile;Waterfall;Pair Programming;Scrum;Mostly own developed methodology combining spiral and agile and using waterfall for small sprints,Plain Text;Use Case;GUI prototype;Grooming seasons;Story board,Requirement Analysis;Program Design,Web;Mobile,MacOS;Linux;Ubuntu,Java;Python;JavaScript;GO Lang,Spring boot;Swift;Django;Flask,IntelliJ;PyCharm;Eclipse,Unit testing;User acceptance testing;GUI testing;Functional testing;Performance testing;API Testing,2,"JenKins;XUnit ( eg, JUnit, NUnit )",Jenkins Pipeline,Git,Meet the time line,Yes,Microservice Oriented,Multi Prong Standard Processes,Multi Prong Standard Processes and Products,Commitment & Dedication,Commitment & Dedication,Solid Baseline,Support,"Technical Skills, Soft Skills"
2019/01/14 4:09:22 PM GMT+6,Male,24,Business Accelerate BD Ltd,2 to 5,Developer,Pair Programming;Scrum,Story board,Project Planning;Requirement Analysis;Operation;Maintenance,Web,Linux,JavaScript;PHP,CodeIgniter,Phpstorm,Unit testing;User acceptance testing;Functional testing,,,,Git,,Yes,,,,,,,,
2019/01/14 4:10:54 PM GMT+6,Female,30,DECK deals limited,5 to 10,"High level management ( CEO, CIO, CFO )",Agile,Plain Text;Use Case;GUI prototype;Grooming seasons;Story board,Project Planning;Program Design;Implementation;Testing;Documentation;Operation;Maintenance,Web;Mobile;Desktop,MacOS;Linux;Ubuntu,"Java;Python;JavaScript; GO, SCALA , RUBY ",Spring boot;Swift;Django;Rails;FLASK,PyCharm,Unit testing;User acceptance testing;GUI testing;Functional testing;Performance testing;API TESTING,2,"JenKins;XUnit ( eg, JUnit, NUnit );Selenium",AWS codeDeploy,BitBucket,Work with dedication,Yes,Yes,Yes,Yes,dedication towards their work and to broaden their horizon of knowledge,should be open minded to gain and attain he knowledge,building  a good basics in the students not only to learn coding.,support the growth of the IT sector,to be more dependant on themselves for their own job .
2019/01/14 4:11:27 PM GMT+6,Male,23,Business Accelerate BD Ltd.,less than 2,Developer,Pair Programming,Story board,Operation,Web;Desktop,Windows,JavaScript;PHP,Codelgniter,Phpstrome,,,,,Git,,,,,,,,,,
2019/01/14 4:13:10 PM GMT+6,Male,25,BABL,less than 2,Developer,Agile;Pair Programming,Plain Text;Use Case;GUI prototype,Project Planning;Requirement Analysis,Mobile,Windows;Linux,Java;C/C++;PHP,,Android Studio,Unit testing;Functional testing,5,,,Git,,,,,,,,,,
2019/01/14 4:15:49 PM GMT+6,Male,24,Business Accelerate BD Ltd,2 to 5,Developer,Pair Programming,Plain Text;Use Case;GUI prototype,Program Design;Implementation,Web;Mobile,Windows;Ubuntu,Java;JavaScript;PHP,Spring boot;Laravel,IntelliJ;Eclipse,Unit testing;Functional testing,3,Selenium,,Git;BitBucket,"1. Be consistent with meaningful communication
2. Give recognition and praise
3. Provide feedback, mentorship, and training
4. Create a work culture by design
5. Provide strong leadership and a clear vision
6. Hold yourself and others accountable
7. Demonstrate good problem solving
8. Be an effective decision maker
9. Be dedicated and balanced",Yes,"1. Get the basics down.
2. Automate Everything.
6. Excuse yourself.","Customer Focus,Obsession with Quality,Continual Improvement of Systems,Unity of Purpose,Teamwork,Scientific Approach",,,,,,
2019/01/14 4:18:16 PM GMT+6,Male,33,Cefalo Bangladesh Ltd,more than 10,Developer,Agile;Pair Programming;Scrum,JIRA,Requirement Analysis;Implementation,Web;Mobile;Desktop,MacOS;Linux,"Java;Node JS, other front end things",Spring boot,IntelliJ,Unit testing;User acceptance testing;GUI testing;Functional testing;Performance testing,5,"JenKins;XUnit ( eg, JUnit, NUnit );Selenium","JENKINS, GIT",Git;BitBucket,"Sincerely, ownership, appreciation, feedback ",yes,adding more resources as needed,"speed test, concurrency usage etc","We have implemented/used https, VPN, access control etc",,,,,
2019/01/14 4:21:39 PM GMT+6,Female,23,BABL,less than 2,Developer,Agile,Plain Text;GUI prototype,Project Planning;Requirement Analysis;Program Design,Desktop,Windows;Linux,Java,,Android studio,Unit testing;User acceptance testing;GUI testing;Functional testing;Performance testing,4,,,Git,good behavior,no,,,,,,,,
2019/01/14 4:21:50 PM GMT+6,Male,24,BABL,less than 2,Developer,Agile,Plain Text;GUI prototype,Project Planning;Requirement Analysis;Program Design,Mobile,Windows;Linux,Java,android studio (editor),android studio,Unit testing,4,"XUnit ( eg, JUnit, NUnit )",Bamboo,Git,good behavior,no,,,,,,,,
2019/01/14 4:26:01 PM GMT+6,Male,27,Business Accelerate BD Ltd.,2 to 5,Developer,Agile;Waterfall,Plain Text;GUI prototype;Story board,Requirement Analysis;Program Design;Implementation,Web,Windows;Ubuntu,JavaScript;PHP,Laravel;Codeigniter,NetBeans;PhpStorm,User acceptance testing;Functional testing;Performance testing,3,Selenium,"Gitlab, Github",Git,Follow up project first to last and provide proper guideline connected with client information.,Yes,Standard code of products and depends on client happiness.,Upgrade new technologies and update with present business strategy.,User login authentication and csrf protection.,,,,,
2019/01/14 4:28:52 PM GMT+6,Female,,Business Accelerate BD Ltd,less than 2,Developer,Agile,Plain Text;Use Case,Project Planning;Requirement Analysis;Program Design;Implementation;Testing;Operation,Web;Mobile;Desktop,Windows;Ubuntu,Java,Spring boot,IntelliJ;NetBeans;Eclipse,Unit testing,1,"XUnit ( eg, JUnit, NUnit )",,Git,"Be consistent with meaningful communication,Give recognition and praise,Provide feedback, mentorship, and training",Actually not involved in any R&D projects,"Define a business that is open-ended and continuously improving,Building a business plan and model that is attractive to investors,create a strong team","By Making a commitment,Invest in training,Organize quality circles","Start from the beginning and keep going,Quality maintain,Design with the future in mind","Ensure a safe and respectful work environment.
Provide employees with ongoing feedback","Visibility and transparency,Clear salary and compensation delivery","Good teacher,maintain routine,necessary equipment for teacher and student","Fair election,reform the education sector ,provide health facilities to all the citizens free of cost,build new dams and diminish the chances of water crisis,gas crisis","skilled teacher,good environment"
2019/01/14 4:43:52 PM GMT+6,Male,23,Business Accelerate BD Ltd,less than 2,Research and Development,Scrum,Use Case;Grooming seasons,Program Design;Implementation,Web,Linux,Java;Python,Spring boot;Django,IntelliJ;PyCharm,Performance testing,3,Selenium,Open Source server,Git,Need some indoor games setup in office space. Requested to evaluate my performance of 3 months work and increment salary as committed at the time of joining.,Yes. In NEC-ECNEC Project.,API(Return metadata in JSON format ) which developed for data extraction at a time work with a single file and use efficient data structure to store the file data.Size of that file doesn't matter for analysing  data and pattern recognizing.,"Too many metadata need to be extracted from DPP, RDPP, ADP, RADP file. Now i'm developing  many parsing strategy.after competing it for all keyword i build a LSTM model  for fixing the strategy of a specific  file structure using the weight of probability. 
After that i can say the performance of my model. At present stage, you can see the performance of this sub-system as we follow  end to end development . Trying  continuously  to accurate the result.",Spring Boot framework will be used in back-end development. And spring boot Security is so much strong.,,,,,
2019/01/14 5:08:10 PM GMT+6,Male,33,,2 to 5,Developer,,,,,,,,,,,,,,,,,,,,,,,
2019/01/15 9:42:58 AM GMT+6,Male,34,,more than 10,Developer,Agile;Pair Programming;Scrum,Plain Text;Use Case;GUI prototype;Story board,Requirement Analysis;Program Design;Implementation;Testing,Web;Mobile,MacOS;Linux;Ubuntu,"JavaScript;PHP;Ruby, React","Rails;Sailsjs, wordpress",IntelliJ;Visual Studio Code,User acceptance testing;GUI testing,5,,,Git;BitBucket,,,,,,,,,,
2019/01/15 10:00:15 AM GMT+6,Male,35,Cefalo Bangladesh Limited,5 to 10,Developer,Agile;Scrum,Story board,Implementation,Web,Linux;Ubuntu,Java;JavaScript,Spring boot,IntelliJ,Unit testing,4,"XUnit ( eg, JUnit, NUnit )",Spinnaker,Git;BitBucket,,,,,,,,,,
2019/01/15 11:02:58 AM GMT+6,Male,34,Cefalo Bangladesh Ltd,5 to 10,Developer,Agile;Scrum,Grooming seasons;Story board,Project Planning;Requirement Analysis;Implementation,Web,Linux,Java;JavaScript,"Spring boot;Nodejs, Elastic search",IntelliJ,Unit testing;GUI testing,5,,"Jenkins, Openshift",BitBucket,Knowledgeable and cordial,Yes,Planning with focusing future,"Page speed, SEO, Code refactoring",We use a security scanner tool amd fix accrodingly,"Sincere, Feel owner ship of project/product and good teamplayer",Should be quick learner and sincere,"Focus programming courses, seminar, workshop and contests, internship.",Well facilitated IT parks (like EPZ) near/in each major cities. Need to attract foreign IT giants as well as motivation/incentives to create local entrepreneurs,In house technical courses
2019/01/15 12:57:40 PM GMT+6,Male,44,,more than 10,Business analyst;Project manager,Agile;Waterfall;Scrum,Plain Text;Use Case;GUI prototype;Grooming seasons;Story board,Requirement Analysis;Implementation;Operation,Web;Mobile;Desktop,Windows;Linux,Java;JavaScript;C#;PHP,Spring boot;ASP. NET;Laravel,Visual Studio;IntelliJ;NetBeans;Eclipse,Unit testing;User acceptance testing;GUI testing,3,"JenKins;XUnit ( eg, JUnit, NUnit );Selenium",Jenkins,Git;SVN,Good Planning and Forecast,Yes,Distributed Services,Load Testing,"OWASP, Network and Infrastructure Security","Proactive, Adaptive, Innovative",,"Teach students Professional Ethics and Practices, Tie-up with Industry Practices and Problems, Solutions or Research Paper for any specific or generic Technical/Administrative problems.  ","Facilitates to grow the IT Industry with supporting more professional training, Infrastructure development.","On Job, Technical and Soft Skills"
2019/01/15 1:12:55 PM GMT+6,Female,25,Dohatec,2 to 5,Tester,Agile,Use Case,Project Planning;Requirement Analysis;Testing;Documentation,Web;Mobile;Desktop,Windows,Java;JavaScript;C#,ASP. NET;Struts II,Visual Studio;NetBeans;Eclipse,"Unit testing;User acceptance testing;GUI testing;Functional testing;Performance testing;Load Testing, System Integration Testing, Regression Testing etc",2,"XUnit ( eg, JUnit, NUnit );Selenium;JMeter",,Git,,Yes,,,,,,,,
2019/01/15 5:01:36 PM GMT+6,Male,37,Business Accelerate BD Ltd.,more than 10,"High level management ( CEO, CIO, CFO )",Agile;Waterfall;Pair Programming;Scrum;Mostly own developed methodology combining spiral and agile and using waterfall for small sprints,Plain Text;Use Case;GUI prototype;Grooming seasons;Story board,Requirement Analysis;Program Design,Web;Mobile,MacOS;Linux;Ubuntu,Java;Python;JavaScript;GO Lang,Spring boot;Swift;Django;Flask,IntelliJ;PyCharm;Eclipse,Unit testing;User acceptance testing;GUI testing;Functional testing;Performance testing;API Testing,2,"JenKins;XUnit ( eg, JUnit, NUnit )",Jenkins Pipeline,Git,Meet the time line,Yes,Microservice Oriented,Multi Prong Standard Processes,Multi Prong Standard Processes and Products,Commitment & Dedication,Commitment & Dedication,Solid Baseline,Support,"Technical Skills, Soft Skills"
2019/01/15 6:00:02 PM GMT+6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/01/15 9:33:40 PM GMT+6,Male,38,Craftsmen Ltd,more than 10,"Developer;High level management ( CEO, CIO, CFO )",Agile;Scrum;Kanban,Grooming seasons;Story board,Requirement Analysis;Implementation;Operation,Web;Mobile;Desktop;Embedded /IOT;Cloud,Windows;Ubuntu,Java;JavaScript;C#;NodeJs,,Visual Studio;IntelliJ;Eclipse,Unit testing;User acceptance testing;GUI testing;Functional testing;Performance testing;Integration Testing,2,"JenKins;XUnit ( eg, JUnit, NUnit );Ghost Inspector,  Cypress",AWS codeDeploy,Git;BitBucket;Mercurial,I don't like micro management.,Yes,By defining solid architecture.,By defining solid architecture and easy to change things.,There are some basic guidelines that we must follow and while code review this needs to be an absolute part that needs to be checked before the code gets merged.,Act as an Engineer. We are used to get guidance from the childhood and we love to get spoon fed by someone.,Solid Basics. Its no longer grades its real life.,Strong collaboration with the industries so that the graduates can be easily embedded to the industry after graduation. Generally it takes around 6 months to 1 year to train up a graduates.,Please let us do business cleanly. We want to do operation fairly and we expect fair treatment from them as well.,"In house, on line and on site training in abroad. "
2019/01/15 11:29:48 PM GMT+6,Male,24,Craftsmen ltd,less than 2,Software Development Engineer,Agile,Plain Text,Implementation,Web,Ubuntu,JavaScript,React.js,Visual Studio,Unit testing,,,,,,,,,,,,,,
2019/01/16 8:27:40 AM GMT+6,Male,35,,more than 10,"Developer;Business analyst;Project manager;High level management ( CEO, CIO, CFO )",Agile;Pair Programming;Scrum,Plain Text;GUI prototype;Grooming seasons;Story board,Requirement Analysis;Program Design;Implementation,Web;Mobile;Desktop,Windows,JavaScript,"NodeJS, Vue, React",Visual Studio Code,Unit testing;Functional testing,1,,Jenkins/AWS CodeBuild,Git,Evaluate me properly and remove blockers,Yes,Think ahead of the requirements,,,"They will stay for long term and perform up to expectations, learn from mistakes",Commitment and dedication,"Produce graduates with high IQ and industry relevant up to date knowledge, placement","Make it easier to open and operate business, remove restrictions on payment gateways, source more from local companies","On the job, small tasks, learn by doing"
2019/01/16 8:28:26 PM GMT+6,Male,27,Ipay,2 to 5,Developer,Scrum,Use Case;Story board,Implementation,Web,Windows;MacOS,Java;Python;JavaScript;C#;PHP,Spring boot;ASP. NET;Django,Visual Studio;IntelliJ;PyCharm,GUI testing,3,JenKins;Selenium,Jenkins,BitBucket,Feature story,No,By doing load test,Following good practice,Token based authentication,Liability and Proactiveness,Insight analysis ability and trust,University should train student some basic knowledge of industry practice. Research on industry SDLC.,,Self assessment
2019/01/17 10:11:36 AM GMT+6,Male,37,Infosapex,more than 10,Developer;Tester;Project manager,Agile;Waterfall;Pair Programming;Scrum,Plain Text;Use Case;GUI prototype;Grooming seasons;Story board,Project Planning;Requirement Analysis;Program Design;Implementation;Testing;Documentation;Operation;Maintenance,Web;Mobile;Desktop;Embedded /IOT,Windows;Linux;Ubuntu,Java;C/C++;Python;JavaScript;C#;PHP;Ruby,Spring boot;ASP. NET;Swift;Django;Laravel;Rails,"Visual Studio;IntelliJ;NetBeans;PyCharm;Eclipse;Atom, Visual Studio Code",Unit testing;User acceptance testing;GUI testing;Functional testing;Performance testing;Load Testing,3,"JenKins;XUnit ( eg, JUnit, NUnit );Selenium;phpUnit",AWS codeDeploy,Git;BitBucket,,Yes,,,By Security Testing,must provide training session for new tech,Candidate must have knowledge on development,more lab work base on real world need,may thing,mobile development
2019/01/17 10:54:27 AM GMT+6,Female,30,,5 to 10,QA Lead,Agile,Use Case;Grooming seasons,Testing,Web,Windows;Ubuntu,Python,,PyCharm,"User acceptance testing;GUI testing;Functional testing;Performance testing;Load, Regression & others",3,Selenium,,,They will provide me training regarding my job.,No,,,,,,,,
2019/01/17 11:46:48 AM GMT+6,Male,20,,2 to 5,Developer,,,,Web,Windows,PHP,Laravel,,,,,,,,,,,,,,,,
2019/01/17 2:37:21 PM GMT+6,Male,27,InfoSapex Limited,2 to 5,Developer,Waterfall,Plain Text,Implementation,Web,Ubuntu,Python,Django,PyCharm,,,,AWS codeDeploy,Git,Being more reasonable,no,,,,,,,,
